"","case","projection_year","amo","pdsi","bassB","menhadenC","menhadenE","menhadenCPUE","bassCPUE","herringCPUE","menhadenV"
"1","scenario C",2013,"-6.23lm","-4.06lm","-0.000125004519966727*^lm","-5.87648952957632e-06*lm","-2.07*lm","3.5639015737017e-06lm","-0.00212070197640736lm","-0.00017052489371189lm","-1.26690017378213e-08*lm"
"2","scenario C",2014,"-8.13lm","-3.62lm","-0.000113533880122366*^lm","-6.48946659584846e-06*lm","-2.1*^lm","4.79243892903423e-06lm","-0.00267285552093229lm","-0.00022790743566081lm","-1.43890831806828e-08*lm"
"3","scenario C",2015,"-6.84lm","0.9lm","-0.0000959254093509454*^lm","-5.59419722926378e-06*lm","-1.74*lm","3.86759839670257e-06lm","-0.00280262137366351lm","-0.000109756421782843lm","-1.30036875511837e-08*lm"
"4","scenario C",2016,"-12.02*lm","0.39lm","-0.000125135408761169*^lm","-6.16903329952194e-06*lm","-2.14*lm","7.44368943237116e-06lm","-0.00251592436602715lm","-0.000145808522286303lm","-1.31666468191691e-08*lm"
"5","scenario C",2017,"-8.68lm","-2.26lm","-0.000116213500395404*^lm","-5.20388899854734e-06lm","-1.8*lm","6.59129396458428e-06lm","-0.00283603092525911lm","-0.000173747836887798lm","-1.21675579492467e-08*lm"
