"","case","projection_year","amo","pdsi","bassB","menhadenC","menhadenE","menhadenCPUE","bassCPUE","herringCPUE","menhadenV"
"1","scenario B",2013,"-0.00429796673902363*lm","0.000161974913648156lm","-5.31857111956562e-09lm","-4.27139368923933e-09*lm","-0.000826372652815936*lm","-1.27879898287753e-09lm","-8.31155368379196e-07lm","-1.0807370528367e-08lm","-7.39486693302602e-12*lm"
"2","scenario B",2014,"-0.08*lm","-0.01lm","-1.88267154531069e-07lm","-7.08021439727129e-08*lm","-0.01*lm","-2.31491276995203e-08lm","-0.0000146373180308583lm","-6.13563773530458e-07lm","-1.17302974664693e-10*lm"
"3","scenario B",2015,"-0.08*lm","-0.000557082838748488lm","-2.89623343179918e-07lm","-7.8519849761559e-08*lm","-0.01*lm","-7.9988937996075e-09lm","-0.000012973111972605lm","-4.06578778839148e-07lm","-1.27770880650342e-10*lm"
"4","scenario B",2016,"-0.08*lm","-0.00208071625079265lm","-2.2717808399901e-07lm","-7.77548164849395e-08*lm","-0.01*lm","-2.61779090946501e-09lm","-0.000010944733734545lm","-3.84991924426017e-07lm","-1.25495996309907e-10*lm"
"5","scenario B",2017,"-0.06*lm","-0.00202149716637179lm","-1.54430113856854e-07lm","-6.45062802788337e-08*lm","-0.01*lm","-2.75304821242979e-09lm","-8.42600264911558e-06lm","-3.26165394203204e-07lm","-1.03991598211922e-10*lm"
