"","Average_Catch","B_K","B_BMSY","Average_Biomass","Bonanza_Period","Collapse_Period"
"Max",1269093.85512986,0.606438924540268,0.86529503932246,952322.7988,5,0
"Min",0,0,0,0,0,5
"OM+OM FMSY",603361.397068,0.0421554817756601,0.0712999693834673,506337.0643812,0,3
"OM+DBSRA FMSY",177721.04253,0.182387539306433,0.308482442157335,752211.48552,0,1
"OM+AMO Fadj",71327.184446,0.254052944523123,0.429694227257939,920686.05784,0,0
"OM+PDSI Fadj",97886.253996,0.239993476299257,0.40591464719658,870668.19488,0,0
"OM+Bass Biomass Fadj",48621.217618,0.268125478802793,0.453495906684304,952322.7988,0,0
"OM+Menhaden Catch Fadj",151790.655714,0.202985067298806,0.343320215404639,810214.71358,0,0
"OM+Menhaden Effort Fadj",143126.158984,0.211629940015067,0.357941781427145,846454.6564,0,0
"OM+Menhaden CPUE Fadj",115920.290006,0.217077519809596,0.367155583670728,842318.89448,0,0
"OM+Bass CPUE Fadj",115652.98431,0.22826405441493,0.386076007332639,861046.1525,0,0
"OM+Herring CPUE Fadj",114777.885488,0.229406934815769,0.388009026104015,865653.98094,0,0
"OM+Menhaden Value Fadj",152359.581418,0.204266350321156,0.345487322419363,821054.84556,0,0
"DBSRA EM+DBSRA FMSY",1269093.85512986,0.605131334769448,0.864663291082314,35437.5622860923,1,0
"DBSRA EM+AMO Fadj",0.138181247851688,0.601949813197829,0.858885193140709,0.000264381126009396,0,0
"DBSRA EM+PDSI Fadj",0.232730090008705,0.602769863550686,0.86529503932246,0.000264381135564936,0,0
"DBSRA EM+Bass Biomass Fadj",0.0958341896274811,0.604198119024968,0.864174418256057,0.000298608867150503,1,0
"DBSRA EM+Menhaden Catch Fadj",0.369958516188541,0.600540092669252,0.858872736382864,0.000264381150204886,0,0
"DBSRA EM+Menhaden Effort Fadj",0.324138827400742,0.606438924540268,0.86347351071244,0.000264381144861261,0,0
"DBSRA EM+Menhaden CPUE Fadj",0.191659535799495,0.60036939723067,0.860311006877835,0.000264381131295814,0,0
"DBSRA EM+Bass CPUE Fadj",0.263112109548427,0.599444463716018,0.858309618521542,0.000264381138375695,0,0
"DBSRA EM+Herring CPUE Fadj",0.253306234027834,0.60240171491172,0.859823665191955,0.000264381137564549,0,0
"DBSRA EM+Menhaden Value Fadj",0.362370467201579,0.605303908852992,0.860459423447051,0.000264381149103454,0,0
