"","case","projection_year","amo","pdsi","bassB","menhadenC","menhadenE","menhadenCPUE","bassCPUE","herringCPUE","menhadenV"
"1","scenario A",2013,"-0.00449403069389914*lm","0.000146598154533059lm","-3.36338396397366e-09lm","-4.20093221971193e-09*lm","-0.000809588862184046*lm","-1.72304093083125e-09lm","-7.71559223724529e-07lm","-6.48839824787065e-09lm","-7.36049240719154e-12*lm"
"2","scenario A",2014,"-0.09*~lm","-0.01lm","-2.8382486767024e-07lm","-7.4860024645523e-08*lm","-0.01*lm","-2.18604528128852e-08lm","-0.0000192266535513344lm","-8.74259558613799e-07lm","-1.27591889367149e-10*lm"
"3","scenario A",2015,"-0.09*lm","-0.00251154468176784lm","-3.0702763373864e-07lm","-8.60668129735525e-08*lm","-0.01*lm","-1.00953237417092e-08lm","-0.0000163021269063966lm","-5.21823496655422e-07lm","-1.39182640938217e-10*lm"
"4","scenario A",2016,"-0.1*lm","-0.01lm","-2.9288297010881e-07lm","-9.65295111652935e-08*lm","-0.02*lm","-8.20763373943335e-09lm","-0.0000164695534623962lm","-6.12744838832841e-07lm","-1.54458350060579e-10*lm"
"5","scenario A",2017,"-0.05*lm","-0.0012685055263029lm","-1.23934961988528e-07lm","-5.05262998356481e-08*lm","-0.01*lm","-2.01086226072816e-09lm","-6.48354680134184e-06lm","-2.4975710627648e-07lm","-8.14189237281591e-11*lm"
