EwEVersion,"6.6.5.17207 (compiled 12/14/2020)"
Date,"2/15/2022 8:31:58 AM"
ModelName,"NWACS AM 7ages updateF"
EcosimScenario,"sim3.5_ts1_fit28v_i7_PreySwitch1 vulcap"
TimeSeries,"copyUpdated NWACS MICE 5 v2-1-6-Time series grid"
StartYear,1985

Data,Landings

year,fleet,group,value
1985,1,1,1.681188E-06
1985,3,11,0.005140332
1986,1,1,1.861772E-06
1986,3,11,0.003322652
1987,1,1,2.045789E-06
1987,3,11,0.003433564
1988,1,1,2.345656E-06
1988,3,11,0.00411479
1989,1,1,2.744541E-06
1989,3,11,0.005336814
1990,1,1,3.126045E-06
1990,3,11,0.0165805
1991,1,1,3.824588E-06
1991,3,11,0.01380903
1992,1,1,4.826697E-06
1992,3,11,0.01800509
1993,1,1,6.070614E-06
1993,3,11,0.02219688
1994,1,1,7.506888E-06
1994,3,11,0.02081939
1995,1,1,9.038989E-06
1995,3,11,0.02360632
1996,1,1,1.039375E-05
1996,3,11,0.02777221
1997,1,1,1.129069E-05
1997,3,11,0.01912589
1998,1,1,1.184088E-05
1998,3,11,0.02230277
1999,1,1,1.180951E-05
1999,3,11,0.01761963
2000,1,1,1.110104E-05
2000,3,11,0.0124263
2001,1,1,1.029492E-05
2001,3,11,0.006840272
2002,1,1,9.938362E-06
2002,3,11,0.006475139
2003,1,1,9.548711E-06
2003,3,11,0.003167938
2004,1,1,9.214227E-06
2004,3,11,0.003786451
2005,1,1,8.846698E-06
2005,3,11,0.003794625
2006,1,1,8.459114E-06
2006,3,11,0.004792619
2007,1,1,7.977259E-06
2007,3,11,0.005999457
2008,1,1,7.338242E-06
2008,3,11,0.006028426
2009,1,1,6.623035E-06
2009,3,11,0.00560784
2010,1,1,6.021855E-06
2010,3,11,0.005587938
2011,1,1,5.506019E-06
2011,3,11,0.009769063
2012,1,1,5.438852E-06
2012,3,11,0.01088749
2013,1,1,5.623289E-06
2013,3,11,0.007409455
2014,1,1,5.869486E-06
2014,3,11,0.01079223
2015,1,1,6.066013E-06
2015,3,11,0.008730336
2016,1,1,6.19376E-06
2016,3,11,0.01219242
2017,1,1,6.160115E-06
2017,3,11,0.01109786
