Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
March,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
April,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
May,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
June,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
July,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
August,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
September,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
October,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
November,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
December,0.0001882295,0.0987844,0.1442665,0.002414426,0.03548559,0.2266677,0.2598439,0.1834647,0.1232711,0.04507257,0.01893923,1.083504,0.7180001,0.01705109,0.3276199,0.04967128,0.3360771,0,0,0,0,0,
1987,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
February,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
March,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
April,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
May,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
June,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
July,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
August,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
September,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
October,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
November,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
December,0.0001882295,0.0665535,0.06589811,0.003063653,0.04508767,0.2930708,0.3287587,0.2329785,0.1677528,0.06412988,0.01893923,2.179142,0.7483844,0.02150407,0.263965,0.4621631,0.2620094,0,0,0,0,0,
1988,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
February,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
March,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
April,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
May,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
June,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
July,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
August,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
September,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
October,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
November,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
December,0.0001882295,0.03442877,0.1711593,0.003950942,0.05939573,0.3814817,0.4127158,0.2838592,0.1915432,0.07252684,0.01893923,0.5859821,0.7208907,0.02517006,0.536602,0.05371143,0.3091995,0,0,0,0,0,
1989,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
February,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
March,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
April,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
May,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
June,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
July,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
August,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
September,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
October,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
November,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
December,0.0001882295,0.01877306,0.04373693,0.0037644,0.05641253,0.3992698,0.49255,0.3724866,0.2809508,0.105549,0.01893923,0.7547276,0.3753387,0.02955609,0.4064258,0.02058613,0.2674867,0,0,0,0,0,
1990,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
February,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
March,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
April,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
May,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
June,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
July,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
August,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
September,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
October,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
November,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
December,0.0001882295,0.009358025,0.02578593,0.002826328,0.04200935,0.326849,0.4561178,0.3683697,0.2918078,0.1078725,0.01893923,0.436498,0.4395059,0.08295415,0.19066,0.008873817,0.2048837,0,0,0,0,0,
1991,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
February,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
March,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
April,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
May,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
June,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
July,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
August,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
September,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
October,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
November,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
December,0.0001882295,0.01292474,0.03179315,0.003050237,0.04471824,0.3058487,0.3784885,0.2838389,0.2093296,0.07757523,0.01893923,0.8439185,0.4685323,0.03170458,0.3239949,0.003791899,0.1871812,0,0,0,0,0,
1992,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
February,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
March,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
April,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
May,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
June,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
July,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
August,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
September,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
October,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
November,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
December,0.0001882295,0.01347257,0.04084716,0.001750645,0.02608856,0.1991176,0.2862545,0.2303762,0.171407,0.06066368,0.01893923,0.6121774,0.4503914,0.01636514,0.3056806,0.000836592,0.1924376,0,0,0,0,0,
1993,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
February,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
March,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
April,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
May,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
June,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
July,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
August,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
September,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
October,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
November,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
December,0.0001882295,0.02629584,0.05770249,0.001940259,0.02826497,0.1767695,0.202164,0.1413303,0.09215622,0.03318014,0.01893923,0.3791379,0.4382525,0.006648863,0.1341434,0.002545365,0.1733349,0,0,0,0,0,
1994,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
February,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
March,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
April,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
May,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
June,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
July,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
August,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
September,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
October,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
November,0.0001882295,0.03510695,0.08081331,0.001895403,0.02774079,0.1632961,0.1755532,0.1158435,0.05754307,0.0126322,0.01893923,0.3953485,0.4355033,0.01084804,0.1127268,0.002346333,0.1576365,0,0,0,0,0,
