,"Group name","Max rel. P/B","Max rel. feeding time","Feeding time adjust rate [0,1]","Fraction of other mortality sens. to changes in feeding time","Predator effect on feeding time [0,1]","Density-dep. catchability: Qmax/Qo [>=1]","QBmax/QBo (for handling time) [>1]","Switching power parameter [0,2]",
,"striped bass",,,,,,,,,
1,"striped bass 0",,2,0.5,0,1,1,1000,1,
2,"striped bass 2-5",,2,0,1,0,1,1000,1,
3,"striped bass 6+",,2,0,1,0,1,1000,1,
,menhaden,,,,,,,,,
4,"menhaden 0",,2,0.5,1,0,1,1000,0,
5,"menhaden 1",,2,0,1,0,1,1000,0,
6,"menhaden 2",,2,0,1,0,1,1000,0,
7,"menhaden 3",,2,0,1,0,1,1000,0,
8,"menhaden 4",,2,0,1,0,1,1000,0,
9,"menhaden 5",,2,0,1,0,1,1000,0,
10,"menhaden 6+",,2,0,1,0,1,1000,0,
11,"spiny dogfish",,2,0,1,0,1,1000,1,
,bluefish,,,,,,,,,
12,"bluefish juv",,2,0.5,1,0,1,1000,1,
13,"bluefish adult",,2,0,1,0,1,1000,1,
,weakfish,,,,,,,,,
14,"weakfish juv",,2,0.5,1,0,1,1000,1,
15,"weakfish adult",,2,0,1,0,1,1000,1,
,"Atlantic herring",,,,,,,,,
16,"Atlantic herring 0-1",,2,0.5,1,0,1,1000,0,
17,"Atlantic herring 2+",,2,0,1,0,1,1000,0,
18,anchovies,,2,0,1,0,1,1000,0,
19,benthos,,2,0,1,0,1,1000,0,
20,zooplankton,,2,0,1,0,1,1000,0,
21,phytoplankton,2,,,,,,,,
