"","Average_Catch","B_K","B_BMSY","Average_Biomass","Bonanza_Period","Collapse_Period"
"Max",583680,0.357219167534352,0.579771,3487086,5,0
"Min",0,0,0,0,0,5
"OM+OM FMSY",325748.939842,0.00647217062256342,0.0109467511174262,249993.0478774,0,4
"OM+DBSRA FMSY",265790.84296,0.104763833716121,0.177193043984305,577647.23334,0,1
"OM+AMO Fadj",291985.0424,0.0738459528291082,0.124899869578728,499471.7937,0,3
"OM+PDSI Fadj",276068.45622,0.0933867597059314,0.15795035016534,549728.69136,0,2
"OM+Bass Biomass Fadj",251316.82992,0.119607961277891,0.202299763113051,612945.78362,0,1
"OM+Menhaden Mean Age",281418.52212,0.0871216244720438,0.147353769802751,533973.61908,0,2
"OM+Menhaden Catch Fadj",268904.2386,0.101400527539669,0.171504492524154,569481.12404,0,1
"OM+Menhaden Effort Fadj",267933.2765,0.102456760878198,0.173290960179766,572053.065,0,1
"OM+Menhaden CPUE Fadj",253563.7652,0.117379150396933,0.198530048217619,607715.19766,0,1
"OM+Bass CPUE Fadj",275783.96284,0.0937126504785307,0.15850154780631,550540.23564,0,2
"OM+Herring CPUE Fadj",271238.53552,0.0988332239451398,0.167162265606618,563200.07838,0,1
"OM+Menhaden Value Fadj",276888.65698,0.0924430922894997,0.156354271670548,547374.4191,0,2
"SS3 EM+SS3 FMSY",530766.8,0.34015879019292,0.503628,3398880,1,0
"SS3 EM+AMO Fadj",583680,0.294866366404829,0.3432,3166572,1,0
"SS3 EM+PDSI Fadj",553962.4,0.322501706489784,0.434283,3307962,1,0
"SS3 EM+Bass Biomass Fadj",505129.2,0.357219167534352,0.579771,3487086,1,0
"SS3 EM+Menhaden Mean Age Fadj",534955.4,0.337151149036455,0.491157,3383368,1,0
"SS3 EM+Menhaden Catch Fadj",534955.4,0.337151149036455,0.491157,3383368,1,0
"SS3 EM+Menhaden Effort Fadj",510137,0.354047281444994,0.564908,3470664,1,0
"SS3 EM+Menhaden CPUE Fadj",553962.4,0.322501706489784,0.434283,3307962,1,0
"SS3 EM+Bass CPUE Fadj",534955.4,0.337151149036455,0.491157,3383368,1,0
"SS3 EM+Herring CPUE Fadj",553962.4,0.322501706489784,0.434283,3307962,1,0
"SS3 EM+Menhaden Value Fadj",553962.4,0.322501706489784,0.434283,3307962,1,0
